Morfo;Visitor
borobleta amarela, manchas laranjas na ponta das asas;Phoebis sp1
borobleta asas de vidro;Nymphalidae sp.
Borobleta asas pretas com rosa;Battus polydamas
borobleta azul classica daqui;Synargis calyce
Borobleta bonitona;Heraclides brasiliensis
Borobleta branca amarelada;Phoebis sp3
Borobleta branca com borda preta;Ascia sp.
Borobleta branca com cinza equena parece a do Funcho, mas não é;Lycaenidae sp2
Borobleta branca que parece a do girassol;Ascia sp.
Borobleta cinza com detalhes na asa;Lycaenidae sp2
borobleta cinza com pontinhos, parece a do funcho;Lycaenidae sp2
borobleta cinza média;Hesperiidae sp5
Borobleta cinza pequnea  visitando;Lycaenidae sp2
borobleta classica do funcho;Lycaenidae sp2
Borobleta com asas brancas lindas;Phoebis marcellina
Borobleta com asas de couro já flmei aqui;Emesis mandana
Borobleta com asas de misaico literalmente;Burnsius orcus
borobleta com asas mosaico pequnea;Strymon bazochii
borobleta com olhos nas asas;Junonia evarete
Borobleta com olhos nas asas 1;Junonia evarete
Borobleta com rabo (Spicauda sp.);Spicauda procne
borobleta do agrão;Chlosyne saundersii
Borobleta do agrião;Chlosyne saundersii
borobleta do agrião 1;Chlosyne saundersii
Borobleta do girassol;Ascia sp.
borobleta do girassol 1;Ascia sp.
Borobleta do maracujá;Agraulis maculosa
Borobleta laranja linda;Dryas sp.
Borobleta maracujá;Agraulis maculosa
Borobleta mesclada com asas abertas;Burnsius orcus
Borobleta messclada;Burnsius orcus
Borobleta pequhena cinza com detalhes nas asas;Lycaenidae sp2
borobleta pequnea com detakhes em branco;Burnsius orcus
Borobleta preta;Heraclides brasiliensis
Borobleta preta coma amrelo grande commum aqui;Heraclides brasiliensis
Borobleta preta diferente;Battus polydamas
Borobleta preta gigante;Heraclides brasiliensis
Borobleta preta grande;Heraclides brasiliensis
borobleta que aprece a monarca;Euptoieta meridiania
Borobleta que parace a monarca;Euptoieta meridiania
Borobleta que parece a do Agrião;Chlosyne saundersii
borobleta que parece a do agrião, mas mais clara;Chlosyne saundersii
Borobleta que parece a do girassol;Ascia sp.
Borobleta que parece a monarca;Euptoieta meridiania
Borobleta que parece monarca;Euptoieta meridiania
Borobleta que paree a do agrião;Chlosyne saundersii
Borobleta verde bebe grande;Anteos clorinde
Borobleta verde clara com asas de folhas;Anteos clorinde
borobleta vermelha;Junonia evarete
boroboleta que parece a monarca;Euptoieta meridiania
borolbet branca do girassol;Ascia sp.
borolbeta branca;Phoebis marcellina
Borolbeta do Girassol;Ascia sp.
borolbeta linda com asas azuis quando abre;Lasaia sp.
borolbeta mesclada grande linda;Lepidoptera sp23
borolbeta pequena com asas dentro azuis, com detalhes laranja e cinza na asa fechada. Clássica;Lycaenidae sp2
borolbeta que parece a do girassol filmei na turnera;Ascia sp.
Borolbeta que parece a monarca;Euptoieta meridiania
Borolbeta que parece a monarca 1;Euptoieta meridiania
Brboleta do Agrião;Chlosyne saundersii
Centris;Centris sp3
Centris (Photo);Centris sp2
Centris acho;Centris sp3
Centris amarela grandinha;Centris sp2
Centris analis;Centris sp1
Centris aquela de abd vermelho;Centris sp1
Centris com abd amrrom filmada na rondas de 10 min (04/03/2022);Centris sp3
centris com abd preto;Centris sp3
Centris com abd vermelho;Centris sp1
Centris de abd vermelho;Centris sp1
Centris de avd marrom;Centris sp3
Centris doidona escura com listras amarelas no abd parece uruçu;Centris sp3
Centris estranhona;Centris sp3
Centris gigante;Epicharis sp.
Centris parece analis;Centris sp1
Centris preta com tórax marrom e abd preto com listras (Parecida com a que vi em Julho de 2022);Centris sp3
Coleoptera;Hippodamia convergens
Coleoptera preto pequeno;Statira sp.1
Coleoptera verde com bolinhas laranjas (comum);Diabrotica speciosa
Coleptea verde com preto listrado;Astylus sp. 2
Coleptera (115);Astylus sp. 1
dioptera com abd preto lustroso;Diptera sp2
Diptera (1/2 arrom);Diptera sp13
Diptera (20);Dioprosopa clavata
Diptera (abd com quadrados brancos);Diptera sp1
Diptera (parece comum);Dioprosopa clavata
Diptera 1;Dioprosopa clavata
Diptera 2;Diptera sp14
Diptera 4;Diptera sp16
Diptera 7;Allograpta sp.
Diptera abd avermelhado;Diptera sp20
Diptera abd meio estranho filmei na emilia esses dias;Allograpta sp.
Diptera abdomen listrado médio;Palpada sp.
Diptera abdomoen alonagdo (já capturado);Dioprosopa clavata
Diptera abdomoen alonagdo (já vi);Dioprosopa clavata
Diptera alongado de abd laranja;Allograpta sp.
Diptera alranja co asas abertas;Diptera sp6
Diptera amarela grande (tinha no girassol) da pra ver o gênero;Palpada sp.
Diptera amgrinho que dobra abd, sem ponta afilada;Dioprosopa clavata
Diptera cap na Aloisia;Diptera sp4
Diptera capturado ontem;Diptera sp5
Diptera cara branca abd claro asas abertas já cap.;Diptera sp1
Diptera com abd alongado diferente;Diptera sp19
Diptera com abd alongado já visto no agrião do pará;Dioprosopa clavata
Diptera com abd alongado visto na Emilia;Dioprosopa clavata
diptera com abd de quadradinhos;Diptera sp1
Diptera com abd fininho;Dioprosopa clavata
diptera com abd fino marrom;Diptera sp13
Diptera com abd laranja, asas bordas pretas;Diptera sp5
Diptera com abd lustroso preto;Diptera sp2
diptera com abd lustroso preto;Diptera sp2
Diptera com abd preto lustroso;Diptera sp2
diptera com abd preto lustroso;Diptera sp2
Diptera com asa aberta;Diptera sp6
Diptera com asa aberta (já caP.);Diptera sp6
Diptera com asas aberta abd listradinho olhos vermelhos;Allograpta sp.
Diptera com atenas fusionadas e abd alongado olhos vermelhos. Lembra um do artigo do Mikania glomerata;Stratiomyidae sp1
Diptera com cara branca e abd com quadradinhos;Diptera sp1
Diptera com olhos vermelhos e face branca;Diptera sp15
Diptera com quadradinhos no abd;Diptera sp1
Diptera com quadrados no abd;Diptera sp1
Diptera com quadrdinhos no abd;Diptera sp1
Diptera de abd co aquadradinhos;Diptera sp1
diptera de abd com quadradinhos;Diptera sp1
Diptera de abd laranja;Diptera sp6
diptera de abd lustroso 1;Diptera sp2
Diptera de abd lustroso;Diptera sp2
Diptera de abd lustroso preto;Diptera sp2
Diptera de abd preto lustroso;Diptera sp2
diptera de abd preto lustroso 1;Diptera sp2
